,Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
41,plymouth satellite custom,16.0,6,225.0,105.0,3439,15.5,1971-01-01,USA
42,chevrolet chevelle malibu,17.0,6,250.0,100.0,3329,15.5,1971-01-01,USA
43,ford torino 500,19.0,6,250.0,88.0,3302,15.5,1971-01-01,USA
44,amc matador,18.0,6,232.0,100.0,3288,15.5,1971-01-01,USA
45,chevrolet impala,14.0,8,350.0,165.0,4209,12.0,1971-01-01,USA
46,pontiac catalina brougham,14.0,8,400.0,175.0,4464,11.5,1971-01-01,USA
47,ford galaxie 500,14.0,8,351.0,153.0,4154,13.5,1971-01-01,USA
48,plymouth fury iii,14.0,8,318.0,150.0,4096,13.0,1971-01-01,USA
49,dodge monaco (sw),12.0,8,383.0,180.0,4955,11.5,1971-01-01,USA
50,ford country squire (sw),13.0,8,400.0,170.0,4746,12.0,1971-01-01,USA
51,pontiac safari (sw),13.0,8,400.0,175.0,5140,12.0,1971-01-01,USA
52,amc hornet sportabout (sw),18.0,6,258.0,110.0,2962,13.5,1971-01-01,USA
53,chevrolet vega (sw),22.0,4,140.0,72.0,2408,19.0,1971-01-01,USA
54,pontiac firebird,19.0,6,250.0,100.0,3282,15.0,1971-01-01,USA
55,ford mustang,18.0,6,250.0,88.0,3139,14.5,1971-01-01,USA
56,mercury capri 2000,23.0,4,122.0,86.0,2220,14.0,1971-01-01,USA
57,opel 1900,28.0,4,116.0,90.0,2123,14.0,1971-01-01,Europe
58,peugeot 304,30.0,4,79.0,70.0,2074,19.5,1971-01-01,Europe
59,fiat 124b,30.0,4,88.0,76.0,2065,14.5,1971-01-01,Europe
60,toyota corolla 1200,31.0,4,71.0,65.0,1773,19.0,1971-01-01,Japan
61,datsun 1200,35.0,4,72.0,69.0,1613,18.0,1971-01-01,Japan
62,volkswagen model 111,27.0,4,97.0,60.0,1834,19.0,1971-01-01,Europe
63,plymouth cricket,26.0,4,91.0,70.0,1955,20.5,1971-01-01,USA
64,toyota corona hardtop,24.0,4,113.0,95.0,2278,15.5,1972-01-01,Japan
65,dodge colt hardtop,25.0,4,97.5,80.0,2126,17.0,1972-01-01,USA
66,volkswagen type 3,23.0,4,97.0,54.0,2254,23.5,1972-01-01,Europe
67,chevrolet vega,20.0,4,140.0,90.0,2408,19.5,1972-01-01,USA
68,ford pinto runabout,21.0,4,122.0,86.0,2226,16.5,1972-01-01,USA
69,chevrolet impala,13.0,8,350.0,165.0,4274,12.0,1972-01-01,USA
70,pontiac catalina,14.0,8,400.0,175.0,4385,12.0,1972-01-01,USA
71,plymouth fury iii,15.0,8,318.0,150.0,4135,13.5,1972-01-01,USA
72,ford galaxie 500,14.0,8,351.0,153.0,4129,13.0,1972-01-01,USA
73,amc ambassador sst,17.0,8,304.0,150.0,3672,11.5,1972-01-01,USA
74,mercury marquis,11.0,8,429.0,208.0,4633,11.0,1972-01-01,USA
75,buick lesabre custom,13.0,8,350.0,155.0,4502,13.5,1972-01-01,USA
76,oldsmobile delta 88 royale,12.0,8,350.0,160.0,4456,13.5,1972-01-01,USA
77,chrysler newport royal,13.0,8,400.0,190.0,4422,12.5,1972-01-01,USA
78,mazda rx2 coupe,19.0,3,70.0,97.0,2330,13.5,1972-01-01,Japan
79,amc matador (sw),15.0,8,304.0,150.0,3892,12.5,1972-01-01,USA
80,chevrolet chevelle concours (sw),13.0,8,307.0,130.0,4098,14.0,1972-01-01,USA
81,ford gran torino (sw),13.0,8,302.0,140.0,4294,16.0,1972-01-01,USA
82,plymouth satellite custom (sw),14.0,8,318.0,150.0,4077,14.0,1972-01-01,USA
83,volvo 145e (sw),18.0,4,121.0,112.0,2933,14.5,1972-01-01,Europe
84,volkswagen 411 (sw),22.0,4,121.0,76.0,2511,18.0,1972-01-01,Europe
85,peugeot 504 (sw),21.0,4,120.0,87.0,2979,19.5,1972-01-01,Europe
86,renault 12 (sw),26.0,4,96.0,69.0,2189,18.0,1972-01-01,Europe
87,ford pinto (sw),22.0,4,122.0,86.0,2395,16.0,1972-01-01,USA
88,datsun 510 (sw),28.0,4,97.0,92.0,2288,17.0,1972-01-01,Japan
89,toyouta corona mark ii (sw),23.0,4,120.0,97.0,2506,14.5,1972-01-01,Japan
90,dodge colt (sw),28.0,4,98.0,80.0,2164,15.0,1972-01-01,USA
91,toyota corolla 1600 (sw),27.0,4,97.0,88.0,2100,16.5,1972-01-01,Japan
92,buick century 350,13.0,8,350.0,175.0,4100,13.0,1973-01-01,USA
93,amc matador,14.0,8,304.0,150.0,3672,11.5,1973-01-01,USA
94,chevrolet malibu,13.0,8,350.0,145.0,3988,13.0,1973-01-01,USA
95,ford gran torino,14.0,8,302.0,137.0,4042,14.5,1973-01-01,USA
96,dodge coronet custom,15.0,8,318.0,150.0,3777,12.5,1973-01-01,USA
97,mercury marquis brougham,12.0,8,429.0,198.0,4952,11.5,1973-01-01,USA
98,chevrolet caprice classic,13.0,8,400.0,150.0,4464,12.0,1973-01-01,USA
99,ford ltd,13.0,8,351.0,158.0,4363,13.0,1973-01-01,USA
100,plymouth fury gran sedan,14.0,8,318.0,150.0,4237,14.5,1973-01-01,USA
101,chrysler new yorker brougham,13.0,8,440.0,215.0,4735,11.0,1973-01-01,USA
102,buick electra 225 custom,12.0,8,455.0,225.0,4951,11.0,1973-01-01,USA
103,amc ambassador brougham,13.0,8,360.0,175.0,3821,11.0,1973-01-01,USA
104,plymouth valiant,18.0,6,225.0,105.0,3121,16.5,1973-01-01,USA
105,chevrolet nova custom,16.0,6,250.0,100.0,3278,18.0,1973-01-01,USA
106,amc hornet,18.0,6,232.0,100.0,2945,16.0,1973-01-01,USA
107,ford maverick,18.0,6,250.0,88.0,3021,16.5,1973-01-01,USA
108,plymouth duster,23.0,6,198.0,95.0,2904,16.0,1973-01-01,USA
109,volkswagen super beetle,26.0,4,97.0,46.0,1950,21.0,1973-01-01,Europe
110,chevrolet impala,11.0,8,400.0,150.0,4997,14.0,1973-01-01,USA
111,ford country,12.0,8,400.0,167.0,4906,12.5,1973-01-01,USA
112,plymouth custom suburb,13.0,8,360.0,170.0,4654,13.0,1973-01-01,USA
113,oldsmobile vista cruiser,12.0,8,350.0,180.0,4499,12.5,1973-01-01,USA
114,amc gremlin,18.0,6,232.0,100.0,2789,15.0,1973-01-01,USA
115,toyota carina,20.0,4,97.0,88.0,2279,19.0,1973-01-01,Japan
116,chevrolet vega,21.0,4,140.0,72.0,2401,19.5,1973-01-01,USA
117,datsun 610,22.0,4,108.0,94.0,2379,16.5,1973-01-01,Japan
118,maxda rx3,18.0,3,70.0,90.0,2124,13.5,1973-01-01,Japan
119,ford pinto,19.0,4,122.0,85.0,2310,18.5,1973-01-01,USA
120,mercury capri v6,21.0,6,155.0,107.0,2472,14.0,1973-01-01,USA
121,fiat 124 sport coupe,26.0,4,98.0,90.0,2265,15.5,1973-01-01,Europe
122,chevrolet monte carlo s,15.0,8,350.0,145.0,4082,13.0,1973-01-01,USA
123,pontiac grand prix,16.0,8,400.0,230.0,4278,9.5,1973-01-01,USA
124,fiat 128,29.0,4,68.0,49.0,1867,19.5,1973-01-01,Europe
125,opel manta,24.0,4,116.0,75.0,2158,15.5,1973-01-01,Europe
126,audi 100ls,20.0,4,114.0,91.0,2582,14.0,1973-01-01,Europe
127,volvo 144ea,19.0,4,121.0,112.0,2868,15.5,1973-01-01,Europe
128,dodge dart custom,15.0,8,318.0,150.0,3399,11.0,1973-01-01,USA
129,saab 99le,24.0,4,121.0,110.0,2660,14.0,1973-01-01,Europe
130,toyota mark ii,20.0,6,156.0,122.0,2807,13.5,1973-01-01,Japan
131,oldsmobile omega,11.0,8,350.0,180.0,3664,11.0,1973-01-01,USA
132,plymouth duster,20.0,6,198.0,95.0,3102,16.5,1974-01-01,USA
133,ford maverick,21.0,6,200.0,,2875,17.0,1974-01-01,USA
134,amc hornet,19.0,6,232.0,100.0,2901,16.0,1974-01-01,USA
135,chevrolet nova,15.0,6,250.0,100.0,3336,17.0,1974-01-01,USA
136,datsun b210,31.0,4,79.0,67.0,1950,19.0,1974-01-01,Japan
137,ford pinto,26.0,4,122.0,80.0,2451,16.5,1974-01-01,USA
138,toyota corolla 1200,32.0,4,71.0,65.0,1836,21.0,1974-01-01,Japan
139,chevrolet vega,25.0,4,140.0,75.0,2542,17.0,1974-01-01,USA
140,chevrolet chevelle malibu classic,16.0,6,250.0,100.0,3781,17.0,1974-01-01,USA
141,amc matador,16.0,6,258.0,110.0,3632,18.0,1974-01-01,USA
142,plymouth satellite sebring,18.0,6,225.0,105.0,3613,16.5,1974-01-01,USA
143,ford gran torino,16.0,8,302.0,140.0,4141,14.0,1974-01-01,USA
144,buick century luxus (sw),13.0,8,350.0,150.0,4699,14.5,1974-01-01,USA
145,dodge coronet custom (sw),14.0,8,318.0,150.0,4457,13.5,1974-01-01,USA
146,ford gran torino (sw),14.0,8,302.0,140.0,4638,16.0,1974-01-01,USA
147,amc matador (sw),14.0,8,304.0,150.0,4257,15.5,1974-01-01,USA
148,audi fox,29.0,4,98.0,83.0,2219,16.5,1974-01-01,Europe
149,volkswagen dasher,26.0,4,79.0,67.0,1963,15.5,1974-01-01,Europe
150,opel manta,26.0,4,97.0,78.0,2300,14.5,1974-01-01,Europe
151,toyota corona,31.0,4,76.0,52.0,1649,16.5,1974-01-01,Japan
152,datsun 710,32.0,4,83.0,61.0,2003,19.0,1974-01-01,Japan
153,dodge colt,28.0,4,90.0,75.0,2125,14.5,1974-01-01,USA
154,fiat 128,24.0,4,90.0,75.0,2108,15.5,1974-01-01,Europe
155,fiat 124 tc,26.0,4,116.0,75.0,2246,14.0,1974-01-01,Europe
156,honda civic,24.0,4,120.0,97.0,2489,15.0,1974-01-01,Japan
157,subaru,26.0,4,108.0,93.0,2391,15.5,1974-01-01,Japan
158,fiat x1.9,31.0,4,79.0,67.0,2000,16.0,1974-01-01,Europe
159,plymouth valiant custom,19.0,6,225.0,95.0,3264,16.0,1975-01-01,USA
160,chevrolet nova,18.0,6,250.0,105.0,3459,16.0,1975-01-01,USA
161,mercury monarch,15.0,6,250.0,72.0,3432,21.0,1975-01-01,USA
162,ford maverick,15.0,6,250.0,72.0,3158,19.5,1975-01-01,USA
163,pontiac catalina,16.0,8,400.0,170.0,4668,11.5,1975-01-01,USA
164,chevrolet bel air,15.0,8,350.0,145.0,4440,14.0,1975-01-01,USA
165,plymouth grand fury,16.0,8,318.0,150.0,4498,14.5,1975-01-01,USA
166,ford ltd,14.0,8,351.0,148.0,4657,13.5,1975-01-01,USA
167,buick century,17.0,6,231.0,110.0,3907,21.0,1975-01-01,USA
168,chevroelt chevelle malibu,16.0,6,250.0,105.0,3897,18.5,1975-01-01,USA
169,amc matador,15.0,6,258.0,110.0,3730,19.0,1975-01-01,USA
170,plymouth fury,18.0,6,225.0,95.0,3785,19.0,1975-01-01,USA
171,buick skyhawk,21.0,6,231.0,110.0,3039,15.0,1975-01-01,USA
172,chevrolet monza 2+2,20.0,8,262.0,110.0,3221,13.5,1975-01-01,USA
173,ford mustang ii,13.0,8,302.0,129.0,3169,12.0,1975-01-01,USA
174,toyota corolla,29.0,4,97.0,75.0,2171,16.0,1975-01-01,Japan
175,ford pinto,23.0,4,140.0,83.0,2639,17.0,1975-01-01,USA
176,amc gremlin,20.0,6,232.0,100.0,2914,16.0,1975-01-01,USA
177,pontiac astro,23.0,4,140.0,78.0,2592,18.5,1975-01-01,USA
178,toyota corona,24.0,4,134.0,96.0,2702,13.5,1975-01-01,Japan
179,volkswagen dasher,25.0,4,90.0,71.0,2223,16.5,1975-01-01,Europe
180,datsun 710,24.0,4,119.0,97.0,2545,17.0,1975-01-01,Japan
181,ford pinto,18.0,6,171.0,97.0,2984,14.5,1975-01-01,USA
182,volkswagen rabbit,29.0,4,90.0,70.0,1937,14.0,1975-01-01,Europe
183,amc pacer,19.0,6,232.0,90.0,3211,17.0,1975-01-01,USA
184,audi 100ls,23.0,4,115.0,95.0,2694,15.0,1975-01-01,Europe
185,peugeot 504,23.0,4,120.0,88.0,2957,17.0,1975-01-01,Europe
186,volvo 244dl,22.0,4,121.0,98.0,2945,14.5,1975-01-01,Europe
187,saab 99le,25.0,4,121.0,115.0,2671,13.5,1975-01-01,Europe
188,honda civic cvcc,33.0,4,91.0,53.0,1795,17.5,1975-01-01,Japan
189,fiat 131,28.0,4,107.0,86.0,2464,15.5,1976-01-01,Europe
190,opel 1900,25.0,4,116.0,81.0,2220,16.9,1976-01-01,Europe
191,capri ii,25.0,4,140.0,92.0,2572,14.9,1976-01-01,USA
192,dodge colt,26.0,4,98.0,79.0,2255,17.7,1976-01-01,USA
193,renault 12tl,27.0,4,101.0,83.0,2202,15.3,1976-01-01,Europe
194,chevrolet chevelle malibu classic,17.5,8,305.0,140.0,4215,13.0,1976-01-01,USA
195,dodge coronet brougham,16.0,8,318.0,150.0,4190,13.0,1976-01-01,USA
196,amc matador,15.5,8,304.0,120.0,3962,13.9,1976-01-01,USA
197,ford gran torino,14.5,8,351.0,152.0,4215,12.8,1976-01-01,USA
198,plymouth valiant,22.0,6,225.0,100.0,3233,15.4,1976-01-01,USA
199,chevrolet nova,22.0,6,250.0,105.0,3353,14.5,1976-01-01,USA
200,ford maverick,24.0,6,200.0,81.0,3012,17.6,1976-01-01,USA
201,amc hornet,22.5,6,232.0,90.0,3085,17.6,1976-01-01,USA
202,chevrolet chevette,29.0,4,85.0,52.0,2035,22.2,1976-01-01,USA
203,chevrolet woody,24.5,4,98.0,60.0,2164,22.1,1976-01-01,USA
204,vw rabbit,29.0,4,90.0,70.0,1937,14.2,1976-01-01,Europe
205,honda civic,33.0,4,91.0,53.0,1795,17.4,1976-01-01,Japan
206,dodge aspen se,20.0,6,225.0,100.0,3651,17.7,1976-01-01,USA
207,ford granada ghia,18.0,6,250.0,78.0,3574,21.0,1976-01-01,USA
208,pontiac ventura sj,18.5,6,250.0,110.0,3645,16.2,1976-01-01,USA
209,amc pacer d/l,17.5,6,258.0,95.0,3193,17.8,1976-01-01,USA
210,volkswagen rabbit,29.5,4,97.0,71.0,1825,12.2,1976-01-01,Europe
211,datsun b-210,32.0,4,85.0,70.0,1990,17.0,1976-01-01,Japan
212,toyota corolla,28.0,4,97.0,75.0,2155,16.4,1976-01-01,Japan
213,ford pinto,26.5,4,140.0,72.0,2565,13.6,1976-01-01,USA
214,volvo 245,20.0,4,130.0,102.0,3150,15.7,1976-01-01,Europe
215,plymouth volare premier v8,13.0,8,318.0,150.0,3940,13.2,1976-01-01,USA
216,peugeot 504,19.0,4,120.0,88.0,3270,21.9,1976-01-01,Europe
217,toyota mark ii,19.0,6,156.0,108.0,2930,15.5,1976-01-01,Japan
218,mercedes-benz 280s,16.5,6,168.0,120.0,3820,16.7,1976-01-01,Europe
219,cadillac seville,16.5,8,350.0,180.0,4380,12.1,1976-01-01,USA
220,chevy c10,13.0,8,350.0,145.0,4055,12.0,1976-01-01,USA
221,ford f108,13.0,8,302.0,130.0,3870,15.0,1976-01-01,USA
222,dodge d100,13.0,8,318.0,150.0,3755,14.0,1976-01-01,USA
223,honda Accelerationord cvcc,31.5,4,98.0,68.0,2045,18.5,1977-01-01,Japan
224,buick opel isuzu deluxe,30.0,4,111.0,80.0,2155,14.8,1977-01-01,USA
225,renault 5 gtl,36.0,4,79.0,58.0,1825,18.6,1977-01-01,Europe
226,plymouth arrow gs,25.5,4,122.0,96.0,2300,15.5,1977-01-01,USA
227,datsun f-10 hatchback,33.5,4,85.0,70.0,1945,16.8,1977-01-01,Japan
228,chevrolet caprice classic,17.5,8,305.0,145.0,3880,12.5,1977-01-01,USA
229,oldsmobile cutlass supreme,17.0,8,260.0,110.0,4060,19.0,1977-01-01,USA
230,dodge monaco brougham,15.5,8,318.0,145.0,4140,13.7,1977-01-01,USA
231,mercury cougar brougham,15.0,8,302.0,130.0,4295,14.9,1977-01-01,USA
232,chevrolet concours,17.5,6,250.0,110.0,3520,16.4,1977-01-01,USA
233,buick skylark,20.5,6,231.0,105.0,3425,16.9,1977-01-01,USA
234,plymouth volare custom,19.0,6,225.0,100.0,3630,17.7,1977-01-01,USA
235,ford granada,18.5,6,250.0,98.0,3525,19.0,1977-01-01,USA
236,pontiac grand prix lj,16.0,8,400.0,180.0,4220,11.1,1977-01-01,USA
237,chevrolet monte carlo landau,15.5,8,350.0,170.0,4165,11.4,1977-01-01,USA
238,chrysler cordoba,15.5,8,400.0,190.0,4325,12.2,1977-01-01,USA
239,ford thunderbird,16.0,8,351.0,149.0,4335,14.5,1977-01-01,USA
240,volkswagen rabbit custom,29.0,4,97.0,78.0,1940,14.5,1977-01-01,Europe
241,pontiac sunbird coupe,24.5,4,151.0,88.0,2740,16.0,1977-01-01,USA
242,toyota corolla liftback,26.0,4,97.0,75.0,2265,18.2,1977-01-01,Japan
243,ford mustang ii 2+2,25.5,4,140.0,89.0,2755,15.8,1977-01-01,USA
244,chevrolet chevette,30.5,4,98.0,63.0,2051,17.0,1977-01-01,USA
245,dodge colt m/m,33.5,4,98.0,83.0,2075,15.9,1977-01-01,USA
246,subaru dl,30.0,4,97.0,67.0,1985,16.4,1977-01-01,Japan
247,volkswagen dasher,30.5,4,97.0,78.0,2190,14.1,1977-01-01,Europe
248,datsun 810,22.0,6,146.0,97.0,2815,14.5,1977-01-01,Japan
249,bmw 320i,21.5,4,121.0,110.0,2600,12.8,1977-01-01,Europe
250,mazda rx-4,21.5,3,80.0,110.0,2720,13.5,1977-01-01,Japan
251,volkswagen rabbit custom diesel,43.1,4,90.0,48.0,1985,21.5,1978-01-01,Europe
252,ford fiesta,36.1,4,98.0,66.0,1800,14.4,1978-01-01,USA
253,mazda glc deluxe,32.8,4,78.0,52.0,1985,19.4,1978-01-01,Japan
254,datsun b210 gx,39.4,4,85.0,70.0,2070,18.6,1978-01-01,Japan
255,honda civic cvcc,36.1,4,91.0,60.0,1800,16.4,1978-01-01,Japan
256,oldsmobile cutlass salon brougham,19.9,8,260.0,110.0,3365,15.5,1978-01-01,USA
257,dodge diplomat,19.4,8,318.0,140.0,3735,13.2,1978-01-01,USA
258,mercury monarch ghia,20.2,8,302.0,139.0,3570,12.8,1978-01-01,USA
259,pontiac phoenix lj,19.2,6,231.0,105.0,3535,19.2,1978-01-01,USA
260,chevrolet malibu,20.5,6,200.0,95.0,3155,18.2,1978-01-01,USA
261,ford fairmont (auto),20.2,6,200.0,85.0,2965,15.8,1978-01-01,USA
262,ford fairmont (man),25.1,4,140.0,88.0,2720,15.4,1978-01-01,USA
263,plymouth volare,20.5,6,225.0,100.0,3430,17.2,1978-01-01,USA
264,amc concord,19.4,6,232.0,90.0,3210,17.2,1978-01-01,USA
265,buick century special,20.6,6,231.0,105.0,3380,15.8,1978-01-01,USA
266,mercury zephyr,20.8,6,200.0,85.0,3070,16.7,1978-01-01,USA
267,dodge aspen,18.6,6,225.0,110.0,3620,18.7,1978-01-01,USA
268,amc concord d/l,18.1,6,258.0,120.0,3410,15.1,1978-01-01,USA
269,chevrolet monte carlo landau,19.2,8,305.0,145.0,3425,13.2,1978-01-01,USA
270,buick regal sport coupe (turbo),17.7,6,231.0,165.0,3445,13.4,1978-01-01,USA
271,ford futura,18.1,8,302.0,139.0,3205,11.2,1978-01-01,USA
272,dodge magnum xe,17.5,8,318.0,140.0,4080,13.7,1978-01-01,USA
273,chevrolet chevette,30.0,4,98.0,68.0,2155,16.5,1978-01-01,USA
274,toyota corona,27.5,4,134.0,95.0,2560,14.2,1978-01-01,Japan
275,datsun 510,27.2,4,119.0,97.0,2300,14.7,1978-01-01,Japan
276,dodge omni,30.9,4,105.0,75.0,2230,14.5,1978-01-01,USA
277,toyota celica gt liftback,21.1,4,134.0,95.0,2515,14.8,1978-01-01,Japan
278,plymouth sapporo,23.2,4,156.0,105.0,2745,16.7,1978-01-01,USA
279,oldsmobile starfire sx,23.8,4,151.0,85.0,2855,17.6,1978-01-01,USA
280,datsun 200-sx,23.9,4,119.0,97.0,2405,14.9,1978-01-01,Japan
281,audi 5000,20.3,5,131.0,103.0,2830,15.9,1978-01-01,Europe
282,volvo 264gl,17.0,6,163.0,125.0,3140,13.6,1978-01-01,Europe
283,saab 99gle,21.6,4,121.0,115.0,2795,15.7,1978-01-01,Europe
284,peugeot 604sl,16.2,6,163.0,133.0,3410,15.8,1978-01-01,Europe
285,volkswagen scirocco,31.5,4,89.0,71.0,1990,14.9,1978-01-01,Europe
286,honda Accelerationord lx,29.5,4,98.0,68.0,2135,16.6,1978-01-01,Japan
287,pontiac lemans v6,21.5,6,231.0,115.0,3245,15.4,1979-01-01,USA
288,mercury zephyr 6,19.8,6,200.0,85.0,2990,18.2,1979-01-01,USA
289,ford fairmont 4,22.3,4,140.0,88.0,2890,17.3,1979-01-01,USA
290,amc concord dl 6,20.2,6,232.0,90.0,3265,18.2,1979-01-01,USA
291,dodge aspen 6,20.6,6,225.0,110.0,3360,16.6,1979-01-01,USA
292,chevrolet caprice classic,17.0,8,305.0,130.0,3840,15.4,1979-01-01,USA
293,ford ltd landau,17.6,8,302.0,129.0,3725,13.4,1979-01-01,USA
294,mercury grand marquis,16.5,8,351.0,138.0,3955,13.2,1979-01-01,USA
295,dodge st. regis,18.2,8,318.0,135.0,3830,15.2,1979-01-01,USA
296,buick estate wagon (sw),16.9,8,350.0,155.0,4360,14.9,1979-01-01,USA
297,ford country squire (sw),15.5,8,351.0,142.0,4054,14.3,1979-01-01,USA
298,chevrolet malibu classic (sw),19.2,8,267.0,125.0,3605,15.0,1979-01-01,USA
299,chrysler lebaron town @ country (sw),18.5,8,360.0,150.0,3940,13.0,1979-01-01,USA
300,vw rabbit custom,31.9,4,89.0,71.0,1925,14.0,1979-01-01,Europe
301,maxda glc deluxe,34.1,4,86.0,65.0,1975,15.2,1979-01-01,Japan
302,dodge colt hatchback custom,35.7,4,98.0,80.0,1915,14.4,1979-01-01,USA
303,amc spirit dl,27.4,4,121.0,80.0,2670,15.0,1979-01-01,USA
304,mercedes benz 300d,25.4,5,183.0,77.0,3530,20.1,1979-01-01,Europe
305,cadillac eldorado,23.0,8,350.0,125.0,3900,17.4,1979-01-01,USA
306,peugeot 504,27.2,4,141.0,71.0,3190,24.8,1979-01-01,Europe
307,oldsmobile cutlass salon brougham,23.9,8,260.0,90.0,3420,22.2,1979-01-01,USA
308,plymouth horizon,34.2,4,105.0,70.0,2200,13.2,1979-01-01,USA
309,plymouth horizon tc3,34.5,4,105.0,70.0,2150,14.9,1979-01-01,USA
310,datsun 210,31.8,4,85.0,65.0,2020,19.2,1979-01-01,Japan
311,fiat strada custom,37.3,4,91.0,69.0,2130,14.7,1979-01-01,Europe
312,buick skylark limited,28.4,4,151.0,90.0,2670,16.0,1979-01-01,USA
313,chevrolet citation,28.8,6,173.0,115.0,2595,11.3,1979-01-01,USA
314,oldsmobile omega brougham,26.8,6,173.0,115.0,2700,12.9,1979-01-01,USA
315,pontiac phoenix,33.5,4,151.0,90.0,2556,13.2,1979-01-01,USA
316,vw rabbit,41.5,4,98.0,76.0,2144,14.7,1980-01-01,Europe
317,toyota corolla tercel,38.1,4,89.0,60.0,1968,18.8,1980-01-01,Japan
318,chevrolet chevette,32.1,4,98.0,70.0,2120,15.5,1980-01-01,USA
319,datsun 310,37.2,4,86.0,65.0,2019,16.4,1980-01-01,Japan
320,chevrolet citation,28.0,4,151.0,90.0,2678,16.5,1980-01-01,USA
321,ford fairmont,26.4,4,140.0,88.0,2870,18.1,1980-01-01,USA
322,amc concord,24.3,4,151.0,90.0,3003,20.1,1980-01-01,USA
323,dodge aspen,19.1,6,225.0,90.0,3381,18.7,1980-01-01,USA
324,audi 4000,34.3,4,97.0,78.0,2188,15.8,1980-01-01,Europe
325,toyota corona liftback,29.8,4,134.0,90.0,2711,15.5,1980-01-01,Japan
326,mazda 626,31.3,4,120.0,75.0,2542,17.5,1980-01-01,Japan
327,datsun 510 hatchback,37.0,4,119.0,92.0,2434,15.0,1980-01-01,Japan
328,toyota corolla,32.2,4,108.0,75.0,2265,15.2,1980-01-01,Japan
329,mazda glc,46.6,4,86.0,65.0,2110,17.9,1980-01-01,Japan
330,dodge colt,27.9,4,156.0,105.0,2800,14.4,1980-01-01,USA
331,datsun 210,40.8,4,85.0,65.0,2110,19.2,1980-01-01,Japan
